Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
8 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia ubonensis],48.5,48.5,31%,0.004,38.98,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060255686.1?report=genbank&log$=prottop&blast_rank=339&RID=AVF030C7015"",""WP_060255686.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobium sp.],47.8,47.8,34%,0.004,36.51,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX8692967.1?report=genbank&log$=prottop&blast_rank=340&RID=AVF030C7015"",""HEX8692967.1"")"
13 member(s) 11 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Erythrobacteraceae],48.1,48.1,98%,0.004,28.16,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063510607.1?report=genbank&log$=prottop&blast_rank=341&RID=AVF030C7015"",""WP_063510607.1"")"
2 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas fraxinea],48.5,48.5,45%,0.004,34.12,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232135079.1?report=genbank&log$=prottop&blast_rank=342&RID=AVF030C7015"",""WP_232135079.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Pyrinomonadaceae bacterium],48.5,48.5,33%,0.004,37.10,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU4506782.1?report=genbank&log$=prottop&blast_rank=343&RID=AVF030C7015"",""HEU4506782.1"")"
2 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Brevundimonas diminuta],48.1,48.1,30%,0.004,38.60,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157683871.1?report=genbank&log$=prottop&blast_rank=344&RID=AVF030C7015"",""WP_157683871.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium humi],48.5,48.5,36%,0.004,37.31,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_273619389.1?report=genbank&log$=prottop&blast_rank=345&RID=AVF030C7015"",""WP_273619389.1"")"
2 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp.],48.5,48.5,62%,0.004,34.45,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_293501055.1?report=genbank&log$=prottop&blast_rank=346&RID=AVF030C7015"",""WP_293501055.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],47.8,47.8,41%,0.004,34.62,178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX4736690.1?report=genbank&log$=prottop&blast_rank=347&RID=AVF030C7015"",""HEX4736690.1"")"
1 member(s) 1 organism(s),b-proteobacteria,"MAG: lasso peptide biosynthesis B2 protein, partial [Pusillimonas sp.]",45.8,45.8,31%,0.004,39.66,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TAM00050.1?report=genbank&log$=prottop&blast_rank=348&RID=AVF030C7015"",""TAM00050.1"")"
1 member(s) 1 organism(s),b-proteobacteria,"lasso peptide biosynthesis B2 protein, partial [Burkholderia pseudomallei]",46.6,46.6,32%,0.005,39.34,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_161647334.1?report=genbank&log$=prottop&blast_rank=349&RID=AVF030C7015"",""WP_161647334.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],48.5,48.5,41%,0.005,37.97,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY7638157.1?report=genbank&log$=prottop&blast_rank=350&RID=AVF030C7015"",""HEY7638157.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],48.5,48.5,44%,0.005,33.72,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFL6604470.1?report=genbank&log$=prottop&blast_rank=351&RID=AVF030C7015"",""MFL6604470.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobiaceae bacterium],47.0,47.0,31%,0.005,37.29,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HET6232338.1?report=genbank&log$=prottop&blast_rank=352&RID=AVF030C7015"",""HET6232338.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],47.0,47.0,29%,0.005,40.74,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGA9883511.1?report=genbank&log$=prottop&blast_rank=353&RID=AVF030C7015"",""MGA9883511.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],48.5,48.5,44%,0.005,36.47,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HLZ78588.1?report=genbank&log$=prottop&blast_rank=354&RID=AVF030C7015"",""HLZ78588.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Vicinamibacterales bacterium],47.0,47.0,34%,0.005,37.50,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWW87418.1?report=genbank&log$=prottop&blast_rank=355&RID=AVF030C7015"",""HWW87418.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein AEAC466_10725 [Asticcacaulis sp. AC466],45.8,45.8,30%,0.005,42.11,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ESQ84210.1?report=genbank&log$=prottop&blast_rank=356&RID=AVF030C7015"",""ESQ84210.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas fraxinea],48.1,48.1,59%,0.005,30.51,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232133917.1?report=genbank&log$=prottop&blast_rank=357&RID=AVF030C7015"",""WP_232133917.1"")"
1 member(s) 1 organism(s),b-proteobacteria,"lasso peptide biosynthesis B2 protein, partial [Burkholderia pseudomallei]",46.6,46.6,32%,0.005,39.34,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143294759.1?report=genbank&log$=prottop&blast_rank=358&RID=AVF030C7015"",""WP_143294759.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp.],48.1,48.1,85%,0.005,23.86,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HUW52963.1?report=genbank&log$=prottop&blast_rank=359&RID=AVF030C7015"",""HUW52963.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas terricola],48.1,48.1,30%,0.005,44.64,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_132985024.1?report=genbank&log$=prottop&blast_rank=360&RID=AVF030C7015"",""WP_132985024.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Agrobacterium sp. SORGH_AS 787],48.1,48.1,57%,0.005,30.91,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDQ1199167.1?report=genbank&log$=prottop&blast_rank=361&RID=AVF030C7015"",""MDQ1199167.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],46.6,46.6,31%,0.005,40.68,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HXB27454.1?report=genbank&log$=prottop&blast_rank=362&RID=AVF030C7015"",""HXB27454.1"")"
1 member(s) 1 organism(s),bacteria,MAG: lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],46.6,46.6,31%,0.005,36.21,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYT77783.1?report=genbank&log$=prottop&blast_rank=363&RID=AVF030C7015"",""PYT77783.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobium sp.],47.0,47.0,47%,0.005,34.83,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX6748703.1?report=genbank&log$=prottop&blast_rank=364&RID=AVF030C7015"",""HEX6748703.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MAG: lasso peptide biosynthesis B2 protein [Gammaproteobacteria bacterium],47.8,47.8,32%,0.005,43.33,171,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TLY76153.1?report=genbank&log$=prottop&blast_rank=365&RID=AVF030C7015"",""TLY76153.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp.],48.1,48.1,45%,0.005,36.05,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_348012668.1?report=genbank&log$=prottop&blast_rank=366&RID=AVF030C7015"",""WP_348012668.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis machinosus],48.1,48.1,58%,0.005,28.83,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_272743839.1?report=genbank&log$=prottop&blast_rank=367&RID=AVF030C7015"",""WP_272743839.1"")"
2 member(s) 2 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Caldanaerobius fijiensis],47.0,47.0,53%,0.006,28.30,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143156622.1?report=genbank&log$=prottop&blast_rank=368&RID=AVF030C7015"",""WP_143156622.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],48.1,48.1,31%,0.006,40.68,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_270092870.1?report=genbank&log$=prottop&blast_rank=369&RID=AVF030C7015"",""WP_270092870.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium chlorophenolicum],47.8,47.8,40%,0.006,32.00,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_013848595.1?report=genbank&log$=prottop&blast_rank=370&RID=AVF030C7015"",""WP_013848595.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],46.6,46.6,30%,0.006,38.60,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB2678529.1?report=genbank&log$=prottop&blast_rank=371&RID=AVF030C7015"",""MGB2678529.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacteraceae bacterium],48.1,48.1,48%,0.006,31.11,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK6703124.1?report=genbank&log$=prottop&blast_rank=372&RID=AVF030C7015"",""MBK6703124.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis sp. AC466],48.1,48.1,93%,0.006,26.54,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_081714609.1?report=genbank&log$=prottop&blast_rank=373&RID=AVF030C7015"",""WP_081714609.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],46.6,46.6,31%,0.006,37.93,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC2258037.1?report=genbank&log$=prottop&blast_rank=374&RID=AVF030C7015"",""MGC2258037.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],46.6,46.6,31%,0.006,41.38,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH9697834.1?report=genbank&log$=prottop&blast_rank=375&RID=AVF030C7015"",""MGH9697834.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. P1IMeth2],48.1,48.1,91%,0.006,24.88,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186402136.1?report=genbank&log$=prottop&blast_rank=376&RID=AVF030C7015"",""WP_186402136.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],46.6,46.6,31%,0.006,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HET8922533.1?report=genbank&log$=prottop&blast_rank=377&RID=AVF030C7015"",""HET8922533.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderiaceae bacterium],48.1,48.1,37%,0.006,40.85,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU0949640.1?report=genbank&log$=prottop&blast_rank=378&RID=AVF030C7015"",""MCU0949640.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas citri],48.1,48.1,60%,0.006,28.21,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003487129.1?report=genbank&log$=prottop&blast_rank=379&RID=AVF030C7015"",""WP_003487129.1"")"
2 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter hydrolyticus],48.1,48.1,63%,0.006,31.20,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_404615425.1?report=genbank&log$=prottop&blast_rank=380&RID=AVF030C7015"",""WP_404615425.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],46.6,46.6,33%,0.006,37.10,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB7437701.1?report=genbank&log$=prottop&blast_rank=381&RID=AVF030C7015"",""MGB7437701.1"")"
2 member(s) 2 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp.],48.1,48.1,63%,0.006,31.15,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_397536068.1?report=genbank&log$=prottop&blast_rank=382&RID=AVF030C7015"",""WP_397536068.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein Hi04_10k_c5548_00008 [uncultured bacterium],46.6,46.6,31%,0.006,36.21,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UXE46043.1?report=genbank&log$=prottop&blast_rank=383&RID=AVF030C7015"",""UXE46043.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein Astex_2446 [Asticcacaulis excentricus CB 48],48.1,48.1,91%,0.006,26.44,283,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ADU14097.1?report=genbank&log$=prottop&blast_rank=384&RID=AVF030C7015"",""ADU14097.1"")"
4 member(s) 1 organism(s),b-proteobacteria,transglutaminase-like superfamily protein [Burkholderia pseudomallei],47.0,47.0,32%,0.006,39.34,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KGD27920.1?report=genbank&log$=prottop&blast_rank=385&RID=AVF030C7015"",""KGD27920.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. TCA1],47.8,47.8,57%,0.006,29.63,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159832433.1?report=genbank&log$=prottop&blast_rank=386&RID=AVF030C7015"",""WP_159832433.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Parvularculaceae bacterium],47.8,47.8,61%,0.007,28.07,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGE4036005.1?report=genbank&log$=prottop&blast_rank=387&RID=AVF030C7015"",""MGE4036005.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],47.8,47.8,91%,0.007,27.45,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS0503197.1?report=genbank&log$=prottop&blast_rank=388&RID=AVF030C7015"",""MBS0503197.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Erythrobacter sp.],47.0,47.0,47%,0.007,34.44,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCO45879.1?report=genbank&log$=prottop&blast_rank=389&RID=AVF030C7015"",""HCO45879.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriaceae bacterium],46.6,46.6,31%,0.007,37.93,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGE5111379.1?report=genbank&log$=prottop&blast_rank=390&RID=AVF030C7015"",""MGE5111379.1"")"
1 member(s) 1 organism(s),b-proteobacteria,"lasso peptide biosynthesis B2 protein, partial [Burkholderia pseudomallei]",46.6,46.6,32%,0.007,39.34,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_256730123.1?report=genbank&log$=prottop&blast_rank=391&RID=AVF030C7015"",""WP_256730123.1"")"
9 member(s) 8 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. THN1],47.8,47.8,63%,0.007,32.52,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_162896127.1?report=genbank&log$=prottop&blast_rank=392&RID=AVF030C7015"",""WP_162896127.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Woeseia sp.],47.8,47.8,49%,0.007,32.26,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEX2126104.1?report=genbank&log$=prottop&blast_rank=393&RID=AVF030C7015"",""MEX2126104.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.8,47.8,56%,0.007,30.91,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8269752.1?report=genbank&log$=prottop&blast_rank=394&RID=AVF030C7015"",""MGH8269752.1"")"
1 member(s) 1 organism(s),a-proteobacteria,Transglutaminase-like superfamily protein [Sphingopyxis indica],47.8,47.8,97%,0.007,25.96,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SNS96211.1?report=genbank&log$=prottop&blast_rank=395&RID=AVF030C7015"",""SNS96211.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Agrococcus sp.],47.8,47.8,43%,0.007,35.80,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFA4841627.1?report=genbank&log$=prottop&blast_rank=396&RID=AVF030C7015"",""MFA4841627.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacter flavus],47.8,47.8,59%,0.008,28.95,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_380595703.1?report=genbank&log$=prottop&blast_rank=397&RID=AVF030C7015"",""WP_380595703.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas immobilis],47.8,47.8,36%,0.008,41.79,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_304562045.1?report=genbank&log$=prottop&blast_rank=398&RID=AVF030C7015"",""WP_304562045.1"")"
2 member(s) 2 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Bacillus thuringiensis],46.6,46.6,31%,0.008,35.59,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_103622604.1?report=genbank&log$=prottop&blast_rank=399&RID=AVF030C7015"",""WP_103622604.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas fraxinea],47.8,47.8,38%,0.008,36.11,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232580324.1?report=genbank&log$=prottop&blast_rank=400&RID=AVF030C7015"",""WP_232580324.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.8,47.8,41%,0.008,34.15,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HUI60915.1?report=genbank&log$=prottop&blast_rank=401&RID=AVF030C7015"",""HUI60915.1"")"
1 member(s) 1 organism(s),verrucomicrobia,lasso peptide biosynthesis B2 protein [Verrucomicrobiia bacterium],46.2,46.2,31%,0.008,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HXU21981.1?report=genbank&log$=prottop&blast_rank=402&RID=AVF030C7015"",""HXU21981.1"")"
1 member(s) 1 organism(s),verrucomicrobia,lasso peptide biosynthesis B2 protein [Verrucomicrobiia bacterium],47.8,47.8,59%,0.008,26.32,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVK79296.1?report=genbank&log$=prottop&blast_rank=403&RID=AVF030C7015"",""HVK79296.1"")"
6 member(s) 6 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Erythrobacteraceae],47.4,47.4,47%,0.008,34.44,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_390478134.1?report=genbank&log$=prottop&blast_rank=404&RID=AVF030C7015"",""WP_390478134.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Rubrivivax sp.],47.8,47.8,30%,0.008,43.86,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE0546685.1?report=genbank&log$=prottop&blast_rank=405&RID=AVF030C7015"",""MBE0546685.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp. LC81],47.8,47.8,91%,0.008,26.26,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_037515039.1?report=genbank&log$=prottop&blast_rank=406&RID=AVF030C7015"",""WP_037515039.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium subterraneum],47.4,47.4,88%,0.008,30.59,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_269078641.1?report=genbank&log$=prottop&blast_rank=407&RID=AVF030C7015"",""WP_269078641.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.8,47.8,31%,0.008,44.83,250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV7717235.1?report=genbank&log$=prottop&blast_rank=408&RID=AVF030C7015"",""HEV7717235.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Croceicoccus hydrothermalis],47.8,47.8,41%,0.008,35.90,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_239804380.1?report=genbank&log$=prottop&blast_rank=409&RID=AVF030C7015"",""WP_239804380.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Edaphosphingomonas haloaromaticamans],47.8,47.8,90%,0.008,26.92,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084653297.1?report=genbank&log$=prottop&blast_rank=410&RID=AVF030C7015"",""WP_084653297.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobiales bacterium],46.6,46.6,30%,0.008,37.50,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HSL71115.1?report=genbank&log$=prottop&blast_rank=411&RID=AVF030C7015"",""HSL71115.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],46.6,46.6,30%,0.009,35.09,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVZ18612.1?report=genbank&log$=prottop&blast_rank=412&RID=AVF030C7015"",""HVZ18612.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia sp. TSV86],47.8,47.8,60%,0.009,33.61,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_059572015.1?report=genbank&log$=prottop&blast_rank=413&RID=AVF030C7015"",""WP_059572015.1"")"
2 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp. MP1X3],47.8,47.8,30%,0.009,44.83,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_184601699.1?report=genbank&log$=prottop&blast_rank=414&RID=AVF030C7015"",""WP_184601699.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein [Thermoanaerobaculia bacterium],46.2,46.2,42%,0.009,36.25,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEA2336716.1?report=genbank&log$=prottop&blast_rank=415&RID=AVF030C7015"",""MEA2336716.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas panacis],47.4,47.4,70%,0.009,29.85,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083224804.1?report=genbank&log$=prottop&blast_rank=416&RID=AVF030C7015"",""WP_083224804.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Vicinamibacterales bacterium],46.2,46.2,40%,0.009,35.53,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH9204874.1?report=genbank&log$=prottop&blast_rank=417&RID=AVF030C7015"",""MGH9204874.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],46.2,46.2,33%,0.009,37.10,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWZ80915.1?report=genbank&log$=prottop&blast_rank=418&RID=AVF030C7015"",""HWZ80915.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.8,47.8,66%,0.009,25.58,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HVW67410.1?report=genbank&log$=prottop&blast_rank=419&RID=AVF030C7015"",""HVW67410.1"")"
2 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. RC10],47.4,47.4,30%,0.009,42.86,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183427196.1?report=genbank&log$=prottop&blast_rank=420&RID=AVF030C7015"",""WP_183427196.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Proluteimonas flavola],47.4,47.4,30%,0.009,41.07,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD9007026.1?report=genbank&log$=prottop&blast_rank=421&RID=AVF030C7015"",""MCD9007026.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],46.6,46.6,51%,0.010,32.32,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX6809144.1?report=genbank&log$=prottop&blast_rank=422&RID=AVF030C7015"",""HEX6809144.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter denitrificans],47.4,47.4,26%,0.010,43.75,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015446676.1?report=genbank&log$=prottop&blast_rank=423&RID=AVF030C7015"",""WP_015446676.1"")"
